No,Mata Kuliah,Kode,SKS,Kuota,Tingkat,Kelas,Dosen (Sesi 1),Ruang (Sesi 1),Hari (Sesi 1),Jam (Sesi 1),Dosen (Sesi 2),Ruang (Sesi 2),Hari (Sesi 2),Jam (Sesi 2),Dosen (Sesi 3),Ruang (Sesi 3),Hari (Sesi 3),Jam (Sesi 3)
1,Matematika Fisika I,TF2101,3,60,2,1,"Prof. Ir. Hermawan Kresno Dipojono, M.S.EE, Ph.D.",-,Senin,09.00-11.00,"Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM.",-,Kamis,07.00-08.00,-,-,-,-
2,Probabilitas dan Statistik,TF2102,3,60,2,1,"Ir. Estiyanti Ekawati, M.T, Ph.D.",-,Jumat,07.00-09.00,"Anugrah Sabdono Sudarsono, S.T, M.T, Ph.D.",-,Jumat,16.00-17.00,-,-,-,-
3,Komputasi Rekayasa,TF2103,3,60,2,1,Dr. Eng. Nugraha,-,Selasa,13.00-15.00,-,-,-,-,-,-,-,-
4,Rekayasa Termal,TF2104,3,70,2,1,"Dr. Rahmat Romadhon, S.T, M.T.",-,Selasa,09.00-11.00,"Dr. Ahmad Rifqi Muchtar, S.T., M.T.",-,Jumat,10.00-11.00,-,-,-,-
5,Elektronika Analog dan Digital,TF2105,3,60,2,1,"Prof. Dr. Suprijanto, S.T., M.T.",-,Jumat,15.00-16.00,"Dr. Eng. Muhammad Iqbal, S.T., M.T.",-,Kamis,15.00-17.00,-,-,-,-
6,Pengantar Biologi untuk Rekayasa,TF2106,2,60,2,1,"Dr. Eng. Muhammad Iqbal, S.T., M.T.",-,Kamis,13.00-15.00,-,-,-,-,-,-,-,-
7,Laboratorium Teknik Fisika I,TF2107,4,60,2,1,"Dr. Eng. Muhammad Iqbal, S.T., M.T.",-,Kamis,07.00-11.00,-,-,-,-,-,-,-,-
8,Matematika Fisika I,TF2101,3,60,2,2,"Ganes Shukri, S.T., M.Eng., Ph.D.",-,Jumat,13.00-15.00,"Ashari budi Nugraha, S.T., M.T.",-,Rabu,10.00-11.00,-,-,-,-
9,Probabilitas dan Statistik,TF2102,3,60,2,2,"Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM.",-,Kamis,09.00-11.00,"Rizki Armanto Mangkuto, S.T., M.T., Ph.D.",-,Rabu,07.00-08.00,-,-,-,-
10,Komputasi Rekayasa,TF2103,3,60,2,2,"Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng.",-,Senin,07.00-09.00,"Iwan Prasetiyo, S.T, M.T, Ph.D.",-,Selasa,16.00-17.00,-,-,-,-
11,Rekayasa Termal,TF2104,3,70,2,2,"Dr. Damar Rastri Adhika, S.T, M.Sc.",-,Senin,15.00-17.00,"Dr. Damar Rastri Adhika, S.T, M.Sc.",-,Jumat,09.00-10.00,-,-,-,-
12,Elektronika Analog dan Digital,TF2105,3,60,2,2,"Dr. Damar Rastri Adhika, S.T, M.Sc.",-,Jumat,15.00-16.00,"Dr. Ir. Eko Mursito Budi, M.T.",-,Kamis,15.00-17.00,-,-,-,-
13,Pengantar Biologi untuk Rekayasa,TF2106,2,60,2,2,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Selasa,09.00-11.00,-,-,-,-,-,-,-,-
14,Laboratorium Teknik Fisika I,TF2107,4,60,2,2,"Dr. Ir. Eko Mursito Budi, M.T.",-,Kamis,13.00-17.00,-,-,-,-,-,-,-,-
15,Rekayasa Termal,TF2104,3,70,2,3,Dr. Eng. Nugraha,-,Rabu,15.00-17.00,Dr. Eng. Nugraha,-,Senin,13.00-14.00,-,-,-,-
16,Rekayasa Termal,TF2104,3,60,2,6,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Selasa,07.00-09.00,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Rabu,14.00-15.00,-,-,-,-
17,Etika Profesi,TF3002,2,60,3,1,"Ashari budi Nugraha, S.T., M.T.",-,Rabu,13.00-15.00,-,-,-,-,-,-,-,-
18,Praktisi Mengajar (Kapita Selekta),TF3003,2,60,3,1,"Ashari budi Nugraha, S.T., M.T.",-,Rabu,15.00-17.00,-,-,-,-,-,-,-,-
19,Kontrol Otomatik,TF3101,3,60,3,1,"Prof. Dr. Ing. Ir. Yul Yunazwin, M.Sc., DIC.",-,Rabu,13.00-15.00,"Dr. Ahmad Rifqi Muchtar, S.T., M.T.",-,Rabu,08.00-09.00,-,-,-,-
20,Mekanika Kuantum,TF3102,3,60,3,1,"Mohammad Kemal Agusta, S.T, M.Eng., Ph.D.",-,Selasa,09.00-11.00,"Mohammad Kemal Agusta, S.T, M.Eng., Ph.D.",-,Selasa,15.00-16.00,-,-,-,-
21,Rekayasa Optik,TF3103,3,60,3,1,"Ir. Adhitya Gandaryus Saputro, S.T, M.Eng., Ph.D.",-,Kamis,15.00-17.00,"Dr. Vebi Nadhira, S.T, M.T.",-,Rabu,15.00-16.00,-,-,-,-
22,Sistem Pengukuran,TF3104,3,60,3,1,"Prof. Dr. Eng. Ir. Deddy Kurniadi, M.Eng.",-,Kamis,07.00-09.00,"Faqihza Mukhlish, S.T., M.T., Ph.D.",-,Senin,15.00-16.00,-,-,-,-
23,Pemrosesan Sinyal,TF3105,3,60,3,1,"Prof. Ir. Endra Joelianto, Ph.D.",-,Jumat,09.00-11.00,"Dr. Ir. Eko Mursito Budi, M.T.",-,Kamis,15.00-16.00,-,-,-,-
24,Laboratorium Teknik Fisika III,TF3106,2,60,3,1,"Faqihza Mukhlish, S.T., M.T., Ph.D.",-,Kamis,09.00-11.00,-,-,-,-,-,-,-,-
25,Pemrosesan Material,TF3201,4,50,3,1,"Prof. Brian Yuliarto, Ph.D.",-,Jumat,07.00-11.00,"Dr. Eng. Muhammad Iqbal, S.T., M.T.",-,Selasa,13.00-15.00,-,-,-,-
26,Fisika Bangunan,TF3202,4,50,3,1,"Rizki Armanto Mangkuto, S.T., M.T., Ph.D.",-,Jumat,13.00-17.00,"Anugrah Sabdono Sudarsono, S.T, M.T, Ph.D.",-,Jumat,15.00-17.00,-,-,-,-
27,Sistem Energi Hibrida,TF3203,4,50,3,1,"Prof. Ir. Edi Leksono, M.Eng., Ph.D.",-,Rabu,07.00-11.00,"Dr.Ing. Thomas Budiarto, S.T., M.T.",-,Selasa,09.00-11.00,-,-,-,-
28,Instrumentasi dan Integrasi Sistem Industri,TF3204,4,50,3,1,"Dr. Ing. Ir. Parsaulian Ishaya Siregar, Dipl.-Ing.",-,Senin,13.00-17.00,"Dr. Ing. Ir. Parsaulian Ishaya Siregar, Dipl.-Ing.",-,Senin,13.00-15.00,-,-,-,-
29,Instrumentasi Bio dan Medik,TF3205,4,50,3,1,"Prof. Dr. Suprijanto, S.T., M.T.",-,Rabu,07.00-11.00,"Dr. Ahmad Rifqi Muchtar, S.T., M.T.",-,Selasa,15.00-17.00,-,-,-,-
30,Energi Terbarukan,TF3212,3,50,3,1,"Dr.-Ing. Justin Pradipta, S.T., M.T.",-,Jumat,13.00-15.00,"Dr.Ing. Thomas Budiarto, S.T., M.T.",-,Senin,15.00-16.00,-,-,-,-
31,Etika Profesi,TF3002,2,60,3,2,"Dr. Vebi Nadhira, S.T, M.T.",-,Rabu,09.00-11.00,-,-,-,-,-,-,-,-
32,Praktisi Mengajar (Kapita Selekta),TF3003,2,60,3,2,"Dr. Rahmat Romadhon, S.T, M.T.",-,Senin,09.00-11.00,-,-,-,-,-,-,-,-
33,Mekanika Kuantum,TF3102,3,60,3,2,"Ganes Shukri, S.T., M.Eng., Ph.D.",-,Senin,09.00-11.00,"Prof. Ir. Hermawan Kresno Dipojono, M.S.EE, Ph.D.",-,Senin,14.00-15.00,-,-,-,-
34,Rekayasa Optik,TF3103,3,60,3,2,"Dr. Vebi Nadhira, S.T, M.T.",-,Senin,13.00-15.00,"Ir. Adhitya Gandaryus Saputro, S.T, M.Eng., Ph.D.",-,Selasa,14.00-15.00,-,-,-,-
35,Sistem Pengukuran,TF3104,3,60,3,2,"Faqihza Mukhlish, S.T., M.T., Ph.D.",-,Jumat,13.00-15.00,"Prof. Dr. Eng. Ir. Deddy Kurniadi, M.Eng.",-,Selasa,16.00-17.00,-,-,-,-
36,Pemrosesan Sinyal,TF3105,3,60,3,2,"Ir. Estiyanti Ekawati, M.T, Ph.D.",-,Selasa,15.00-17.00,"Augie Widyotriatmo, S.T, M.T, Ph.D.",-,Selasa,07.00-08.00,-,-,-,-
37,Laboratorium Teknik Fisika III,TF3106,2,60,3,2,"Augie Widyotriatmo, S.T, M.T, Ph.D.",-,Selasa,15.00-17.00,-,-,-,-,-,-,-,-
38,Tugas Perancangan Terintegrasi II,TF4001,3,60,4,1,"Iwan Prasetiyo, S.T, M.T, Ph.D.",-,Rabu,09.00-11.00,"Dr. Irsyad Nashirul Haq, S.T., M.T.",-,Jumat,16.00-17.00,-,-,-,-
39,Kerja Praktek,TF4002,3,60,4,1,"Ashari budi Nugraha, S.T., M.T.",-,Jumat,13.00-15.00,"Dr. Eng. Muhammad Iqbal, S.T., M.T.",-,Senin,14.00-15.00,-,-,-,-
40,Metrologi Optik,TF4013,3,50,4,1,"Prof. Dr. Suprijanto, S.T., M.T.",-,Selasa,15.00-17.00,"Dr. Vebi Nadhira, S.T, M.T.",-,Kamis,14.00-15.00,-,-,-,-
41,Sistem Kontrol Multivariabel,TF4014,3,50,4,1,"Prof. Dr. Ing. Ir. Yul Yunazwin, M.Sc., DIC.",-,Rabu,07.00-09.00,"Dr. Azka Muji Burohman, S.Si., M.T.",-,Selasa,08.00-09.00,-,-,-,-
42,Industrial Internet of Things,TF4017,3,50,4,1,"Dr. Ir. Eko Mursito Budi, M.T.",-,Kamis,13.00-15.00,"Faqihza Mukhlish, S.T., M.T., Ph.D.",-,Kamis,14.00-15.00,-,-,-,-
43,Sistem Cerdas,TF4018,3,50,4,1,"Prof. Ir. Endra Joelianto, Ph.D.",-,Jumat,13.00-15.00,"Ir. Miranti Indar Mandasari, S.T., M.T., Ph.D., IPM.",-,Jumat,13.00-14.00,-,-,-,-
44,Teknik Akustik,TF4021,3,50,4,1,"Iwan Prasetiyo, S.T, M.T, Ph.D.",-,Jumat,07.00-09.00,"Ir. R. Sugeng Joko Sarwono, M.T., Ph.D.",-,Rabu,14.00-15.00,-,-,-,-
45,Tugas Akhir,TF4090,3,60,4,1,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Jumat,15.00-17.00,"Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng.",-,Jumat,15.00-16.00,-,-,-,-
46,Desain Material Komputasional,TF4102,2,50,4,1,"Ir. Adhitya Gandaryus Saputro, S.T, M.Eng., Ph.D.",-,Senin,07.00-09.00,-,-,-,-,-,-,-,-
47,Akustik Lingkungan,TF4103,2,50,4,1,"Ir. R. Sugeng Joko Sarwono, M.T., Ph.D.",-,Rabu,13.00-15.00,-,-,-,-,-,-,-,-
48,Teknik Pencahayaan,TF4104,2,50,4,1,"Rizki Armanto Mangkuto, S.T., M.T., Ph.D.",-,Selasa,15.00-17.00,-,-,-,-,-,-,-,-
49,Rekayasa Lingkungan Termal,TF4105,2,50,4,1,"Dr. Rahmat Romadhon, S.T, M.T.",-,Jumat,13.00-15.00,-,-,-,-,-,-,-,-
50,Sistem Manajemen Energi,TF4106,3,70,4,1,"Dr. Irsyad Nashirul Haq, S.T., M.T.",-,Jumat,13.00-15.00,"Dr.Ing. Thomas Budiarto, S.T., M.T.",-,Jumat,08.00-09.00,-,-,-,-
51,Robotik dan Otomasi,TF4107,3,50,4,1,"Augie Widyotriatmo, S.T, M.T, Ph.D.",-,Kamis,09.00-11.00,"Augie Widyotriatmo, S.T, M.T, Ph.D.",-,Kamis,13.00-14.00,-,-,-,-
52,Pembelajaran Mesin untuk Kontrol,TF4108,3,50,4,1,"Prof. Ir. Endra Joelianto, Ph.D.",-,Kamis,07.00-09.00,"Prof. Ir. Endra Joelianto, Ph.D.",-,Jumat,07.00-08.00,-,-,-,-
53,Instrumentasi Biomekanik,TF4109,3,60,4,1,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Selasa,15.00-17.00,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Jumat,16.00-17.00,-,-,-,-
54,Perancangan Rekayasa Hayati,TF4110,3,60,4,1,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Kamis,07.00-09.00,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Rabu,08.00-09.00,-,-,-,-
55,Tugas Perancangan Terintegrasi II,TF4001,3,60,4,2,"Dr. Ir. Eko Mursito Budi, M.T.",-,Jumat,15.00-17.00,"Dr.-Ing. Justin Pradipta, S.T., M.T.",-,Jumat,10.00-11.00,-,-,-,-
56,Kerja Praktek,TF4002,3,60,4,2,"Dr. Eng. Muhammad Iqbal, S.T., M.T.",-,Rabu,15.00-17.00,"Ashari budi Nugraha, S.T., M.T.",-,Senin,15.00-16.00,-,-,-,-
57,Tugas Akhir,TF4090,3,60,4,2,"Dr. Eng. Muhammad Haris Mahyuddin, S.T., M.Eng.",-,Kamis,15.00-17.00,"Narendra Kurnia Putra, S.T., M.T., Ph.D.",-,Rabu,14.00-15.00,-,-,-,-
